# 台東区 一般会計 当初予算（フォールバック seed）
# fiscalYear: 2024 (令和6年度) / type: 予算 / unit: 百万円
# source: 台東区「令和6年度当初予算」一般会計
# 注意: 本ファイルの数値は概算の seed 値であり、公表値で要検証。
#       歳入合計 = 歳出合計 になるよう其他で調整している。
# columns: side,id,name,value
side,id,name,value
income,taito_inc_kuzei,特別区税,35000
income,taito_inc_fufu,特別区交付金（財政調整交付金）,55000
income,taito_inc_kokko,国庫支出金,22000
income,taito_inc_toshibu,都支出金,10000
income,taito_inc_saiken,特別区債,5000
income,taito_inc_other,その他収入,7000
expense,taito_exp_minseihi,民生費（福祉・生活保護）,65000
expense,taito_exp_kyoiku,教育費,20000
expense,taito_exp_doboku,土木費,12000
expense,taito_exp_eisei,衛生費,10000
expense,taito_exp_somu,総務費,13000
expense,taito_exp_sangyo,産業経済費,5000
expense,taito_exp_other,その他,9000
