# 東京都 一般会計 当初予算（フォールバック seed）
# fiscalYear: 2024 (令和6年度) / type: 予算 / unit: 百万円
# source: 東京都「令和6年度当初予算」一般会計
# 注意: 本ファイルの数値は概算の seed 値であり、公表値で要検証。
#       歳入合計 = 歳出合計 になるよう其他で調整している。
# columns: side,id,name,value
side,id,name,value
income,tokyo_inc_tochizei,都税,5800000
income,tokyo_inc_kokko,国庫支出金,1190000
income,tokyo_inc_tosai,都債,491200
income,tokyo_inc_other,その他収入,618800
expense,tokyo_exp_fukushi,福祉保健費,2690000
expense,tokyo_exp_kyoiku,教育費,1540000
expense,tokyo_exp_doboku,土木費,1100000
expense,tokyo_exp_keisatsu,警察費,620000
expense,tokyo_exp_shobo,消防費,280000
expense,tokyo_exp_kankyo,環境費,320000
expense,tokyo_exp_sangyo,産業労働費,380000
expense,tokyo_exp_somu,総務費,620000
expense,tokyo_exp_kosai,公債費,270000
expense,tokyo_exp_other,その他,280000
